seq_len,units,dropout,mae_mean,rmse_mean
48,32,0.1,0.017003117982148923,0.025243044493195237
48,16,0.1,0.01899165339852313,0.028331076883510598
48,16,0.2,0.02095372732638752,0.03100134464706224
48,32,0.2,0.021170373680678357,0.031059173444979105
